trat;rep;comp
Mg2;1;9,00
Mg2;2;12,50
Mg2;3;10,00
Mg2;4;8,00
Mg2;5;13,20
Mg2;6;11,00
Mg2;7;10,80
Mg2;8;9,50
Mg2;9;10,80
Mg2;10;10,40
control;1;13,72
control;2;15,91
control;3;15,70
control;4;14,20
control;5;15,90
control;6;16,54
control;7;18,00
control;8;14,40
control;9;16,41
control;10;16,00
